2937 matches
['halomatch.py', 'Runs/', 'LCDM_vanilla', 'SymC_cool_star_SN', '64', '.5', 'match_LCDM_vanilla_SymC_cool_star_SN']
LCDM_vanilla	SymC_cool_star_SN
2638	None
2639	2882
2640	3324
2641	2993
2642	None
2643	3954
2644	2317
2645	None
2646	4467
2647	None
2648	3274
2649	3935
2650	None
2651	3039
2652	2639
2653	None
2654	2998
2655	2436
2656	2676
2657	2097
2658	3562
2659	3299
2660	None
2661	2123
2662	3428
2663	4749
2664	4268
2665	None
2666	None
2667	3385
2668	None
2669	3584
2670	3449
2671	None
2672	None
2673	3215
2674	3487
2675	None
2676	None
2677	None
2678	2176
2679	None
2680	2825
2681	2829
2682	None
2683	None
2684	3133
2685	None
2686	2870
2687	None
2688	3742
2689	4203
2690	None
2691	None
2692	3362
2693	3225
2694	None
2695	5052
2696	4440
2697	3660
2698	4216
2699	3421
2700	3594
2701	3305
2702	3511
2703	3273
2704	2760
2705	None
2706	2991
2707	5401
2708	3570
2709	3427
2710	3290
2711	None
2712	None
2713	3626
2714	3466
2715	None
2716	None
2717	3358
2718	None
2719	4032
2720	3051
2721	3576
2722	None
2723	2821
2724	3303
2725	4141
2726	3489
2727	5744
2728	3295
2729	None
2730	3566
2731	3729
2732	None
2733	3522
2734	3509
2735	3352
2736	3604
2737	3355
2738	3218
2739	None
2740	3122
2741	2005
2742	3495
2743	3343
2744	3431
2745	2688
2746	2920
2747	2543
2748	3194
2749	None
2750	3261
2751	4038
2752	2585
2753	None
2754	None
2755	None
2756	3375
2757	2732
2758	None
2759	3676
2760	4657
2761	3687
2762	3063
2763	2900
2764	3038
2765	3630
2766	4208
2767	3534
2768	2527
2769	5356
2770	None
2771	None
2772	3130
2773	None
2774	None
2775	3286
2776	None
2777	5600
2778	3865
2779	3247
2780	1917
2781	None
2782	3499
2783	3161
2784	None
2785	4877
2786	2523
2787	2985
2788	2804
2789	3150
2790	2470
2791	3758
2792	2954
2793	3472
2794	3777
2795	4054
2796	5328
2797	3251
2798	2133
2799	4169
2800	3987
2801	3879
2802	2706
2803	3766
2804	3460
2805	None
2806	3893
2807	3271
2808	None
2809	None
2810	None
2811	None
2812	None
2813	3573
2814	3743
2815	None
2816	3376
2817	3701
2818	3256
2819	5205
2820	5062
2821	3520
2822	3771
2823	None
2824	2832
2825	None
2826	3249
2827	3670
2828	3867
2829	None
2830	3386
2831	3363
2832	5003
2833	2826
2834	3503
2835	1647
2836	3904
2837	4474
2838	None
2839	2969
2840	3930
2841	3298
2842	4555
2843	3545
2844	None
2845	None
2846	5687
2847	5619
2848	3209
2849	3227
2850	3371
2851	3136
2852	3793
2853	5649
2854	3552
2855	None
2856	3600
2857	None
2858	None
2859	None
2860	2163
2861	None
2862	None
2863	3527
2864	5487
2865	5785
2866	None
2867	None
2868	None
2869	3224
2870	None
2871	None
2872	3883
2873	None
2874	3974
2875	4143
2876	2970
2877	2628
2878	2519
2879	None
2880	2983
2881	3631
2882	3543
2883	4178
2884	None
2885	None
2886	None
2887	3691
2888	3568
2889	None
2890	3799
2891	2586
2892	3953
2893	3475
2894	4260
2895	3725
2896	3234
2897	3704
2898	None
2899	2709
2900	3289
2901	3577
2902	3845
2903	None
2904	None
2905	2908
2906	None
2907	3512
2908	3961
2909	4375
2910	None
2911	4353
2912	4312
2913	3480
2914	None
2915	3382
2916	None
2917	3169
2918	3437
2919	3248
2920	4075
2921	None
2922	3608
2923	2940
2924	4028
2925	3198
2926	3763
2927	3775
2928	None
2929	4788
2930	3933
2931	None
2932	6041
2933	3616
2934	4472
2935	4206
2936	3817
2937	None
2938	3917
2939	3921
2940	4014
2941	3269
2942	3625
2943	6245
2944	2180
2945	1938
2946	None
2947	4170
2948	3946
2949	4379
2950	4129
2951	None
2952	3659
2953	None
2954	5664
2955	None
2956	5957
2957	None
2958	4101
2959	None
2960	None
2961	3615
2962	3987
2963	2694
2964	3078
2965	3556
2966	3549
2967	None
2968	3171
2969	3655
2970	4640
2971	3583
2972	2740
2973	None
2974	3618
2975	3100
2976	4022
2977	3525
2978	4279
2979	6307
2980	3988
2981	5794
2982	3662
2983	3665
2984	5197
2985	3824
2986	6010
2987	4303
2988	None
2989	4339
2990	3589
2991	2464
2992	3335
2993	5922
2994	4259
2995	4092
2996	None
2997	3781
2998	3975
2999	2265
3000	3998
3001	4209
3002	3734
3003	3738
3004	None
3005	3519
3006	5595
3007	None
3008	4221
3009	4091
3010	5343
3011	None
3012	4053
3013	None
3014	5644
3015	2594
3016	2530
3017	4188
3018	4114
3019	2518
3020	None
3021	2376
3022	5712
3023	3424
3024	4757
3025	None
3026	2858
3027	3375
3028	3905
3029	None
3030	4454
3031	None
3032	4354
3033	4362
3034	3969
3035	None
3036	3590
3037	4512
3038	3787
3039	3301
3040	3550
3041	3281
3042	3989
3043	4233
3044	None
3045	5147
3046	5893
3047	3425
3048	None
3049	3636
3050	4700
3051	3322
3052	3941
3053	None
3054	6340
3055	3682
3056	3668
3057	3773
3058	5499
3059	3689
3060	3693
3061	3591
3062	None
3063	5177
3064	None
3065	3830
3066	None
3067	3523
3068	None
3069	4769
3070	2912
3071	5065
3072	None
3073	None
3074	4218
3075	3282
3076	4551
3077	5303
3078	None
3079	4529
3080	3399
3081	1761
3082	3762
3083	2936
3084	4015
3085	4971
3086	None
3087	3831
3088	2576
3089	6377
3090	3280
3091	None
3092	3786
3093	3654
3094	3405
3095	4013
3096	None
3097	None
3098	5134
3099	None
3100	5106
3101	3862
3102	4328
3103	4538
3104	None
3105	4286
3106	None
3107	3903
3108	4535
3109	None
3110	4249
3111	4464
3112	3928
3113	4297
3114	None
3115	5004
3116	3657
3117	None
3118	5176
3119	3821
3120	3997
3121	2006
3122	4371
3123	None
3124	4413
3125	None
3126	3874
3127	4330
3128	6453
3129	4072
3130	5283
3131	2565
3132	None
3133	None
3134	2390
3135	3862
3136	4516
3137	3554
3138	3524
3139	3752
3140	5101
3141	3916
3142	5295
3143	3544
3144	2756
3145	4623
3146	4301
3147	3339
3148	3515
3149	2350
3150	4548
3151	4052
3152	None
3153	5387
3154	4524
3155	6791
3156	3477
3157	None
3158	4879
3159	4350
3160	None
3161	None
3162	4192
3163	3648
3164	4363
3165	4561
3166	None
3167	None
3168	4348
3169	None
3170	4571
3171	3632
3172	None
3173	5263
3174	None
3175	3517
3176	6248
3177	2548
3178	2505
3179	4932
3180	2425
3181	None
3182	None
3183	4006
3184	3683
3185	1746
3186	None
3187	None
3188	3103
3189	None
3190	4503
3191	None
3192	4993
3193	4834
3194	7019
3195	None
3196	3937
3197	4440
3198	3792
3199	2987
3200	None
3201	4496
3202	4294
3203	2675
3204	3168
3205	3786
3206	None
3207	4884
3208	None
3209	4037
3210	4599
3211	4251
3212	3873
3213	3855
3214	4608
3215	4098
3216	3386
3217	None
3218	3912
3219	None
3220	3540
3221	None
3222	4135
3223	5500
3224	None
3225	4097
3226	3827
3227	4336
3228	6241
3229	4166
3230	None
3231	4477
3232	None
3233	3680
3234	5159
3235	2362
3236	4425
3237	None
3238	4600
3239	4058
3240	3334
3241	5615
3242	3620
3243	None
3244	5814
3245	None
3246	4351
3247	4080
3248	3813
3249	3965
3250	3478
3251	None
3252	None
3253	3531
3254	None
3255	2098
3256	3767
3257	3945
3258	3539
3259	5030
3260	4868
3261	3678
3262	2778
3263	None
3264	2790
3265	2696
3266	4271
3267	None
3268	None
3269	None
3270	4087
3271	5124
3272	4155
3273	3973
3274	2273
3275	5146
3276	2900
3277	2802
3278	4085
3279	5027
3280	None
3281	3835
3282	2828
3283	3913
3284	5100
3285	2204
3286	4282
3287	2314
3288	None
3289	5543
3290	None
3291	3850
3292	6589
3293	3838
3294	None
3295	2635
3296	3846
3297	4641
3298	None
3299	4048
3300	3876
3301	4337
3302	2675
3303	None
3304	None
3305	3714
3306	6535
3307	3674
3308	None
3309	3911
3310	4239
3311	None
3312	None
3313	None
3314	None
3315	2564
3316	3731
3317	None
3318	None
3319	4264
3320	4078
3321	4057
3322	3709
3323	3871
3324	None
3325	None
3326	4881
3327	4373
3328	3736
3329	None
3330	4391
3331	4340
3332	6666
3333	4708
3334	4615
3335	None
3336	None
3337	None
3338	3754
3339	5552
3340	3055
3341	4502
3342	3723
3343	5375
3344	3951
3345	None
3346	4305
3347	3861
3348	3980
3349	4066
3350	None
3351	None
3352	None
3353	5660
3354	6744
3355	None
3356	4263
3357	3694
3358	None
3359	4611
3360	4121
3361	4202
3362	None
3363	None
3364	None
3365	None
3366	5386
3367	4120
3368	2156
3369	5287
3370	4156
3371	5510
3372	3434
3373	5415
3374	4177
3375	None
3376	4017
3377	3932
3378	4763
3379	6117
3380	4198
3381	2278
3382	5077
3383	None
3384	4063
3385	4906
3386	4376
3387	None
3388	5836
3389	6206
3390	4746
3391	None
3392	None
3393	None
3394	None
3395	3698
3396	4210
3397	2960
3398	None
3399	None
3400	5489
3401	3719
3402	None
3403	4369
3404	4489
3405	2474
3406	5241
3407	4591
3408	4274
3409	None
3410	4275
3411	3502
3412	4749
3413	2960
3414	3910
3415	None
3416	None
3417	None
3418	7057
3419	None
3420	4292
3421	None
3422	None
3423	4077
3424	None
3425	3912
3426	5638
3427	4319
3428	None
3429	None
3430	4220
3431	4644
3432	4187
3433	4357
3434	None
3435	4492
3436	None
3437	4307
3438	4084
3439	2357
3440	4196
3441	4712
3442	4237
3443	4547
3444	4241
3445	5669
3446	4322
3447	4576
3448	4343
3449	4543
3450	6002
3451	None
3452	4179
3453	5887
3454	4429
3455	None
3456	2636
3457	2120
3458	None
3459	5654
3460	None
3461	4582
3462	4240
3463	None
3464	4645
3465	3991
3466	None
3467	None
3468	4151
3469	2764
3470	None
3471	3302
3472	4034
3473	4392
3474	4076
3475	4985
3476	4908
3477	6245
3478	None
3479	None
3480	6048
3481	2660
3482	2501
3483	4857
3484	None
3485	4941
3486	None
3487	1814
3488	4417
3489	2783
3490	4310
3491	5311
3492	6257
3493	None
3494	None
3495	4664
3496	None
3497	4944
3498	4317
3499	None
3500	5348
3501	4602
3502	6324
3503	None
3504	4370
3505	None
3506	4374
3507	7111
3508	4706
3509	4197
3510	None
3511	4293
3512	6509
3513	4933
3514	5494
3515	6292
3516	None
3517	4260
3518	None
3519	6632
3520	4141
3521	5170
3522	4838
3523	4549
3524	None
3525	4476
3526	5768
3527	None
3528	5526
3529	5103
3530	5232
3531	None
3532	None
3533	None
3534	5775
3535	4916
3536	None
3537	4580
3538	4383
3539	None
3540	None
3541	4489
3542	2650
3543	3131
3544	4799
3545	4219
3546	None
3547	2275
3548	None
3549	4548
3550	5436
3551	None
3552	5015
3553	6337
3554	4505
3555	4835
3556	4586
3557	4847
3558	5202
3559	6061
3560	None
3561	4625
3562	4412
3563	None
3564	None
3565	4108
3566	4131
3567	None
3568	1861
3569	4372
3570	4205
3571	5920
3572	4765
3573	4631
3574	None
3575	4720
3576	None
3577	5213
3578	5619
3579	None
3580	4378
3581	2387
3582	None
3583	None
3584	5603
3585	None
3586	5325
3587	3513
3588	2397
3589	4484
3590	5622
3591	4600
3592	None
3593	5408
3594	4436
3595	4509
3596	4509
3597	None
3598	5193
3599	5542
3600	None
3601	4753
3602	2747
3603	None
3604	None
3605	None
3606	2601
3607	4099
3608	None
3609	4562
3610	None
3611	2557
3612	None
3613	5188
3614	4832
3615	None
3616	None
3617	None
3618	None
3619	4849
3620	6577
3621	3522
3622	4399
3623	5000
3624	5508
3625	4470
3626	None
3627	None
3628	None
3629	4289
3630	4646
3631	None
3632	4033
3633	None
3634	4864
3635	4767
3636	5191
3637	4226
3638	None
3639	None
3640	4926
3641	5207
3642	None
3643	None
3644	None
3645	5164
3646	3235
3647	None
3648	None
3649	3833
3650	None
3651	None
3652	None
3653	None
3654	5066
3655	None
3656	None
3657	None
3658	7125
3659	3412
3660	4489
3661	None
3662	None
3663	None
3664	None
3665	None
3666	4716
3667	4860
3668	3958
3669	None
3670	2732
3671	2882
3672	None
3673	None
3674	3040
3675	4756
3676	None
3677	None
3678	4862
3679	4004
3680	None
3681	None
3682	None
3683	4342
3684	4711
3685	3018
3686	None
3687	None
3688	None
3689	None
3690	None
3691	4585
3692	3906
3693	None
3694	None
3695	2462
3696	None
3697	None
3698	4434
3699	None
3700	None
3701	None
3702	None
3703	None
3704	None
3705	None
3706	None
3707	None
3708	None
3709	None
3710	None
3711	None
3712	None
3713	None
3714	None
3715	None
3716	None
3717	None
3718	None
3719	None
3720	5317
3721	None
3722	None
3723	None
3724	None
3725	None
3726	4657
3727	1969
3728	None
3729	None
3730	None
3731	None
3732	None
3733	3852
3734	3900
3735	None
3736	None
3737	4698
3738	None
3739	None
3740	None
3741	4347
3742	None
3743	None
3744	None
3745	4612
3746	None
3747	None
3748	None
3749	None
3750	None
3751	4754
3752	2419
3753	None
3754	3396
3755	None
3756	None
3757	None
3758	None
3759	3918
3760	None
3761	4642
3762	None
3763	3983
3764	None
3765	6382
3766	None
3767	4001
3768	None
3769	5374
3770	None
3771	None
3772	None
3773	None
3774	4909
3775	None
3776	None
3777	5070
3778	None
3779	6002
3780	3869
3781	None
3782	None
3783	None
3784	None
3785	4632
3786	4686
3787	1678
3788	None
3789	None
3790	None
3791	2830
3792	None
3793	None
3794	None
3795	None
3796	None
3797	4633
3798	None
3799	5613
3800	None
3801	None
3802	None
3803	None
3804	2749
3805	4212
3806	4819
3807	None
3808	4190
3809	5344
3810	4442
3811	None
3812	None
3813	None
3814	None
3815	None
3816	None
3817	None
3818	None
3819	None
3820	None
3821	None
3822	4766
3823	None
3824	None
3825	None
3826	4845
3827	None
3828	None
3829	3661
3830	None
3831	4165
3832	None
3833	4504
3834	None
3835	None
3836	4211
3837	5828
3838	None
3839	None
3840	None
3841	None
3842	4685
3843	3027
3844	None
3845	None
3846	None
3847	None
3848	4734
3849	2243
3850	None
3851	4542
3852	None
3853	None
3854	5810
3855	None
3856	None
3857	2530
3858	4203
3859	4377
3860	None
3861	4262
3862	None
3863	4417
3864	4897
3865	5246
3866	None
3867	4090
3868	None
3869	4536
3870	None
3871	2483
3872	5850
3873	2156
3874	5788
3875	None
3876	4323
3877	6543
3878	None
3879	None
3880	None
3881	None
3882	2953
3883	None
3884	None
3885	None
3886	None
3887	4222
3888	2513
3889	5261
3890	4811
3891	2579
3892	None
3893	5017
3894	None
3895	4564
3896	None
3897	4993
3898	4573
3899	4707
3900	None
3901	3134
3902	None
3903	5345
3904	5814
3905	None
3906	None
3907	None
3908	None
3909	5570
3910	2524
3911	None
3912	4199
3913	None
3914	None
3915	None
3916	None
3917	4313
3918	4732
3919	4878
3920	5342
3921	None
3922	None
3923	None
3924	None
3925	None
3926	6072
3927	None
3928	None
3929	4390
3930	None
3931	4479
3932	None
3933	2043
3934	None
3935	None
3936	5214
3937	4783
3938	None
3939	2844
3940	None
3941	5741
3942	None
3943	None
3944	3106
3945	None
3946	None
3947	6248
3948	None
3949	None
3950	None
3951	4634
3952	None
3953	4816
3954	None
3955	4883
3956	None
3957	None
3958	6571
3959	None
3960	None
3961	None
3962	None
3963	5124
3964	None
3965	None
3966	None
3967	None
3968	5141
3969	None
3970	None
3971	None
3972	None
3973	5917
3974	None
3975	None
3976	None
3977	None
3978	None
3979	None
3980	None
3981	5882
3982	3396
3983	None
3984	None
3985	None
3986	None
3987	6587
3988	None
3989	None
3990	None
3991	6843
3992	None
3993	None
3994	None
3995	None
3996	None
3997	None
3998	None
3999	None
4000	None
4001	2797
4002	2667
4003	None
4004	None
4005	None
4006	None
4007	None
4008	None
4009	3796
4010	None
4011	2808
4012	None
4013	None
4014	None
4015	None
4016	3532
4017	None
4018	None
4019	4540
4020	None
4021	None
4022	None
4023	2841
4024	None
4025	4090
4026	2914
4027	None
4028	None
4029	None
4030	2762
4031	None
4032	None
4033	None
4034	None
4035	None
4036	None
4037	None
4038	None
4039	None
4040	None
4041	None
4042	None
4043	None
4044	None
4045	None
4046	None
4047	None
4048	None
4049	None
4050	None
4051	None
4052	None
4053	None
4054	None
4055	None
4056	None
4057	None
4058	None
4059	None
4060	None
4061	None
4062	None
4063	None
4064	None
4065	None
4066	None
4067	None
4068	None
4069	None
4070	None
4071	None
4072	None
4073	None
4074	None
4075	None
4076	None
4077	2736
4078	None
4079	3220
4080	None
4081	None
4082	None
4083	None
4084	None
4085	None
4086	6186
4087	None
4088	None
4089	None
4090	None
4091	None
4092	None
4093	None
4094	None
4095	None
4096	None
4097	None
4098	None
4099	None
4100	None
4101	None
4102	None
4103	None
4104	5520
4105	None
4106	None
4107	None
4108	None
4109	None
4110	None
4111	None
4112	None
4113	None
4114	2869
4115	None
4116	None
4117	None
4118	None
4119	None
4120	None
4121	None
4122	None
4123	None
4124	None
4125	None
4126	None
4127	None
4128	None
4129	None
4130	None
4131	None
4132	None
4133	4583
4134	None
4135	None
4136	None
4137	None
4138	None
4139	None
4140	None
4141	3310
4142	None
4143	None
4144	None
4145	None
4146	None
4147	None
4148	None
4149	None
4150	None
4151	3069
4152	None
4153	None
4154	None
4155	None
4156	None
4157	None
4158	2816
4159	None
4160	None
4161	None
4162	None
4163	None
4164	None
4165	None
4166	None
4167	None
4168	None
4169	None
4170	None
4171	None
4172	None
4173	None
4174	None
4175	None
4176	2843
4177	None
4178	None
4179	None
4180	None
4181	None
4182	None
4183	None
4184	None
4185	None
4186	None
4187	None
4188	None
4189	3368
4190	None
4191	None
4192	2874
4193	None
4194	None
4195	None
4196	None
4197	None
4198	None
4199	5774
4200	None
4201	None
4202	None
4203	None
4204	3302
4205	3815
4206	None
4207	None
4208	None
4209	None
4210	None
4211	None
4212	None
4213	3772
4214	None
4215	None
4216	None
4217	None
4218	None
4219	None
4220	None
4221	None
4222	None
4223	None
4224	None
4225	None
4226	None
4227	None
4228	None
4229	None
4230	2200
4231	None
4232	None
4233	None
4234	None
4235	None
4236	None
4237	None
4238	3002
4239	None
4240	None
4241	None
4242	None
4243	None
4244	None
4245	None
4246	None
4247	None
4248	None
4249	None
4250	None
4251	None
4252	None
4253	None
4254	None
4255	None
4256	3481
4257	None
4258	3074
4259	None
4260	None
4261	None
4262	None
4263	None
4264	None
4265	None
4266	None
4267	None
4268	None
4269	2922
4270	None
4271	None
4272	None
4273	None
4274	None
4275	None
4276	2185
4277	None
4278	None
4279	None
4280	None
4281	None
4282	None
4283	None
4284	None
4285	None
4286	None
4287	None
4288	None
4289	None
4290	None
4291	None
4292	None
4293	None
4294	3364
4295	None
4296	None
4297	None
4298	2160
4299	None
4300	4784
4301	None
4302	None
4303	None
4304	None
4305	2408
4306	None
4307	None
4308	None
4309	None
4310	3396
4311	None
4312	None
4313	None
4314	None
4315	None
4316	None
4317	None
4318	None
4319	None
4320	2350
4321	None
4322	None
4323	None
4324	None
4325	None
4326	None
4327	None
4328	None
4329	None
4330	None
4331	2884
4332	None
4333	None
4334	None
4335	None
4336	None
4337	None
4338	2601
4339	2979
4340	None
4341	None
4342	None
4343	None
4344	None
4345	None
4346	None
4347	None
4348	None
4349	None
4350	2238
4351	None
4352	None
4353	None
4354	None
4355	None
4356	None
4357	None
4358	None
4359	None
4360	None
4361	None
4362	None
4363	3050
4364	3486
4365	2956
4366	None
4367	None
4368	None
4369	2885
4370	None
4371	None
4372	None
4373	None
4374	None
4375	None
4376	None
4377	None
4378	None
4379	None
4380	None
4381	None
4382	None
4383	None
4384	None
4385	None
4386	None
4387	None
4388	None
4389	None
4390	None
4391	None
4392	None
4393	None
4394	None
4395	None
4396	None
4397	None
4398	None
4399	None
4400	None
4401	None
4402	None
4403	None
4404	None
4405	None
4406	None
4407	None
4408	None
4409	None
4410	None
4411	None
4412	None
4413	None
4414	None
4415	4065
4416	2597
4417	None
4418	None
4419	None
4420	None
4421	None
4422	None
4423	None
4424	None
4425	None
4426	None
4427	None
4428	None
4429	None
4430	None
4431	None
4432	None
4433	None
4434	None
4435	3875
4436	None
4437	None
4438	None
4439	None
4440	None
4441	None
4442	None
4443	None
4444	None
4445	3500
4446	None
4447	None
4448	None
4449	None
4450	None
4451	None
4452	None
4453	2817
4454	None
4455	4164
4456	None
4457	None
4458	None
4459	None
4460	None
4461	None
4462	None
4463	None
4464	None
4465	None
4466	None
4467	None
4468	None
4469	None
4470	None
4471	None
4472	None
4473	3447
4474	2834
4475	None
4476	None
4477	None
4478	None
4479	None
4480	None
4481	None
4482	None
4483	None
4484	None
4485	None
4486	None
4487	None
4488	None
4489	None
4490	None
4491	None
4492	None
4493	None
4494	None
4495	None
4496	None
4497	3048
4498	None
4499	None
4500	None
4501	None
4502	4978
4503	2518
4504	None
4505	None
4506	None
4507	None
4508	None
4509	None
4510	None
4511	None
4512	None
4513	None
4514	None
4515	None
4516	None
4517	None
4518	None
4519	None
4520	None
4521	None
4522	None
4523	None
4524	None
4525	None
4526	None
4527	None
4528	None
4529	None
4530	None
4531	None
4532	2942
4533	None
4534	None
4535	None
4536	None
4537	None
4538	None
4539	None
4540	None
4541	None
4542	None
4543	None
4544	3388
4545	None
4546	None
4547	None
4548	None
4549	None
4550	None
4551	None
4552	None
4553	None
4554	None
4555	None
4556	None
4557	None
4558	None
4559	None
4560	None
4561	None
4562	4713
4563	2683
4564	3779
4565	None
4566	None
4567	None
4568	None
4569	2802
4570	None
4571	None
4572	5474
4573	None
4574	None
4575	None
4576	None
4577	None
4578	None
4579	None
4580	None
4581	None
4582	None
4583	None
4584	None
4585	None
4586	None
4587	None
4588	None
4589	None
4590	None
4591	None
4592	None
4593	None
4594	None
4595	None
4596	None
4597	4578
4598	None
4599	None
4600	None
4601	None
4602	None
4603	None
4604	None
4605	None
4606	None
4607	3142
4608	None
4609	None
4610	None
4611	None
4612	None
4613	None
4614	None
4615	None
4616	3204
4617	None
4618	None
4619	None
4620	2300
4621	None
4622	2354
4623	None
4624	None
4625	None
4626	None
4627	None
4628	2500
4629	None
4630	None
4631	None
4632	None
4633	None
4634	2383
4635	None
4636	None
4637	None
4638	3073
4639	None
4640	None
4641	None
4642	None
4643	None
4644	None
4645	None
4646	None
4647	None
4648	None
4649	None
4650	None
4651	2837
4652	None
4653	None
4654	None
4655	None
4656	None
4657	None
4658	None
4659	None
4660	None
4661	None
4662	None
4663	2054
4664	4311
4665	None
4666	None
4667	2508
4668	2646
4669	None
4670	None
4671	None
4672	None
4673	None
4674	None
4675	None
4676	None
4677	4726
4678	3532
4679	None
4680	None
4681	3177
4682	None
4683	None
4684	3058
4685	None
4686	5404
4687	None
4688	None
4689	None
4690	None
4691	None
4692	None
4693	None
4694	None
4695	None
4696	None
4697	None
4698	None
4699	2444
4700	None
4701	None
4702	None
4703	None
4704	None
4705	None
4706	None
4707	None
4708	None
4709	None
4710	None
4711	None
4712	None
4713	None
4714	None
4715	None
4716	3340
4717	None
4718	None
4719	None
4720	None
4721	None
4722	None
4723	None
4724	None
4725	None
4726	None
4727	None
4728	None
4729	2881
4730	None
4731	None
4732	None
4733	None
4734	None
4735	None
4736	None
4737	None
4738	None
4739	3413
4740	None
4741	None
4742	None
4743	4917
4744	None
4745	None
4746	None
4747	None
4748	3023
4749	None
4750	None
4751	3005
4752	2837
4753	None
4754	None
4755	None
4756	None
4757	None
4758	None
4759	None
4760	None
4761	None
4762	None
4763	None
4764	None
4765	None
4766	2518
4767	None
4768	None
4769	None
4770	None
4771	None
4772	None
4773	None
4774	3854
4775	None
4776	3050
4777	None
4778	None
4779	None
4780	None
4781	None
4782	None
4783	None
4784	None
4785	None
4786	None
4787	None
4788	3628
4789	None
4790	None
4791	None
4792	None
4793	2615
4794	None
4795	None
4796	None
4797	None
4798	None
4799	None
4800	None
4801	None
4802	None
4803	None
4804	None
4805	None
4806	None
4807	None
4808	None
4809	3779
4810	None
4811	None
4812	None
4813	None
4814	None
4815	None
4816	3093
4817	None
4818	None
4819	None
4820	3708
4821	None
4822	None
4823	None
4824	1949
4825	None
4826	None
4827	None
4828	None
4829	3244
4830	None
4831	None
4832	None
4833	None
4834	None
4835	None
4836	None
4837	None
4838	None
4839	None
4840	None
4841	None
4842	None
4843	None
4844	None
4845	None
4846	2378
4847	None
4848	None
4849	None
4850	None
4851	None
4852	None
4853	None
4854	None
4855	None
4856	None
4857	None
4858	3165
4859	4109
4860	None
4861	None
4862	None
4863	None
4864	None
4865	None
4866	2903
4867	None
4868	None
4869	2922
4870	None
4871	None
4872	None
4873	None
4874	None
4875	None
4876	2210
4877	4559
4878	None
4879	None
4880	None
4881	None
4882	2665
4883	None
4884	None
4885	None
4886	None
4887	None
4888	None
4889	3599
4890	None
4891	3587
4892	3332
4893	None
4894	None
4895	None
4896	None
4897	None
4898	None
4899	None
4900	5926
4901	None
4902	None
4903	3419
4904	None
4905	None
4906	None
4907	3050
4908	None
4909	None
4910	None
4911	3461
4912	3195
4913	None
4914	None
4915	2890
4916	None
4917	None
4918	None
4919	None
4920	None
4921	None
4922	None
4923	None
4924	None
4925	None
4926	None
4927	2306
4928	None
4929	4137
4930	4113
4931	None
4932	None
4933	3880
4934	None
4935	3095
4936	3253
4937	None
4938	None
4939	None
4940	None
4941	None
4942	None
4943	None
4944	4008
4945	4820
4946	2936
4947	None
4948	None
4949	None
4950	None
4951	None
4952	None
4953	3749
4954	3404
4955	None
4956	None
4957	3979
4958	4565
4959	None
4960	3283
4961	1826
4962	None
4963	2950
4964	3002
4965	3173
4966	None
4967	None
4968	None
4969	None
4970	3447
4971	None
4972	3444
4973	3383
4974	3260
4975	2769
4976	None
4977	None
4978	None
4979	2391
4980	3354
4981	3675
4982	None
4983	4606
4984	None
4985	2894
4986	3072
4987	2101
4988	None
4989	2713
4990	None
4991	3464
4992	None
4993	None
4994	None
4995	None
4996	None
4997	None
4998	3050
4999	None
5000	2567
5001	3113
5002	None
5003	3141
5004	2973
5005	2238
5006	2350
5007	3019
5008	None
5009	None
5010	None
5011	None
5012	None
5013	None
5014	None
5015	None
5016	2834
5017	4450
5018	3892
5019	2468
5020	3027
5021	3408
5022	None
5023	4176
5024	3134
5025	2762
5026	None
5027	None
5028	None
5029	None
5030	3938
5031	None
5032	5289
5033	None
5034	None
5035	3735
5036	None
5037	4765
5038	2266
5039	5540
5040	2278
5041	5150
5042	None
5043	3464
5044	None
5045	None
5046	3462
5047	None
5048	4787
5049	3529
5050	None
5051	3453
5052	None
5053	2228
5054	5107
5055	None
5056	4300
5057	4269
5058	None
5059	None
5060	3274
5061	None
5062	3843
5063	3368
5064	5630
5065	3332
5066	4324
5067	3191
5068	3003
5069	3692
5070	3160
5071	4110
5072	None
5073	4450
5074	None
5075	None
5076	4460
5077	4318
5078	4851
5079	6319
5080	3056
5081	None
5082	None
5083	2048
5084	4195
5085	3413
5086	None
5087	None
5088	3112
5089	None
5090	4604
5091	3574
5092	None
5093	5034
5094	4325
5095	None
5096	2905
5097	1979
5098	4798
5099	None
5100	4486
5101	3922
5102	None
5103	4324
5104	None
5105	3260
5106	3944
5107	3153
5108	3103
5109	None
5110	5117
5111	None
5112	None
5113	3127
5114	None
5115	2925
5116	5080
5117	2417
5118	4245
5119	5546
5120	3323
5121	4498
5122	None
5123	4360
5124	3801
5125	3936
5126	2305
5127	5094
5128	None
5129	None
5130	None
5131	None
5132	4508
5133	4230
5134	None
5135	None
5136	3581
5137	3020
5138	2811
5139	3464
5140	3204
5141	3504
5142	4755
5143	2424
5144	4812
5145	4515
5146	2537
5147	3323
5148	4729
5149	3253
5150	4163
5151	None
5152	None
5153	3856
5154	3609
5155	None
5156	5604
5157	None
5158	4130
5159	4149
5160	None
5161	2302
5162	None
5163	None
5164	5198
5165	5820
5166	None
5167	4172
5168	None
5169	None
5170	5861
5171	3533
5172	3644
5173	5559
5174	3866
5175	3705
5176	3860
5177	None
5178	None
5179	3532
5180	4384
5181	4443
5182	5226
5183	4116
5184	4095
5185	2550
5186	3381
5187	4256
5188	5133
5189	3598
5190	5326
